target_id,gene_symbol,chromosome,cleavage_efficiency_pct,off_target_risk_score,chromatin_accessibility_auc,gc_content_pct,microhomology_score,cell_viability_pct,transfection_efficiency_pct,pathway_target,clinical_tier
CRISPR-0019,HTT,chr11,43.9,53,0.31,59.5,49.3,77.9,84.8,Cardiovascular Channel,Experimental
CRISPR-0020,CFTR,chr13,52.7,48.8,0.455,61.7,42.2,76.5,72.1,Oncology / Immuno-Gene,Tier-1 Approved
CRISPR-0021,PDCD1,chr17,79.9,48.1,0.66,55.4,62.5,76.7,74.7,Neurodegenerative Repair,Tier-2 Preclinical
CRISPR-0022,CTLA4,chr19,76.4,10.5,0.762,42.8,13.8,88.2,74.5,Hemoglobinopathy (Sickle Cell),Tier-3 Discovery
CRISPR-0023,PCSK9,chrX,40.6,42.5,0.256,44,55.6,79.8,82.2,Metabolic Enzyme Knockin,Experimental
CRISPR-0024,BRCA1,chr1,61.8,49.3,0.585,63,51.1,78.1,88,Cardiovascular Channel,Tier-1 Approved
CRISPR-0025,TP53,chr2,59.6,46.7,0.568,39.2,67.1,75,75.1,Oncology / Immuno-Gene,Tier-2 Preclinical
CRISPR-0026,EGFR,chr7,64.5,20.7,0.48,46.2,20.1,86.9,85.2,Neurodegenerative Repair,Tier-3 Discovery
CRISPR-0027,MYC,chr11,70.8,31,0.57,46.6,45.5,84.6,90.5,Hemoglobinopathy (Sickle Cell),Experimental
CRISPR-0028,VEGFA,chr13,62.1,24.4,0.506,54.1,32.7,83.4,65.4,Metabolic Enzyme Knockin,Tier-1 Approved
CRISPR-0029,KRAS,chr17,94.2,49,0.931,61.3,48.6,77.6,92.7,Cardiovascular Channel,Tier-2 Preclinical
CRISPR-0030,HBB,chr19,81,27.3,0.773,46.7,36.9,86.5,83.4,Oncology / Immuno-Gene,Tier-3 Discovery
CRISPR-0031,HTT,chrX,38.3,35.6,0.304,62.4,24.8,79.6,86.5,Neurodegenerative Repair,Experimental
CRISPR-0032,CFTR,chr1,62.6,34,0.45,55.4,41.5,80.8,79.3,Hemoglobinopathy (Sickle Cell),Tier-1 Approved
CRISPR-0033,PDCD1,chr2,59.3,14.5,0.464,40.7,13.7,86.2,66.2,Metabolic Enzyme Knockin,Tier-2 Preclinical
CRISPR-0034,CTLA4,chr7,45.8,30.2,0.285,59,16.6,86.4,80.5,Cardiovascular Channel,Tier-3 Discovery
CRISPR-0035,PCSK9,chr11,50.6,14.6,0.335,57.4,12,87.6,70.1,Oncology / Immuno-Gene,Experimental
CRISPR-0036,BRCA1,chr13,51.3,18.3,0.319,53.2,22.1,85.3,78.1,Neurodegenerative Repair,Tier-1 Approved
CRISPR-0037,TP53,chr17,79.8,49,0.841,61.5,45.4,74.2,67.8,Hemoglobinopathy (Sickle Cell),Tier-2 Preclinical
CRISPR-0038,EGFR,chr19,70.3,30.6,0.615,52.4,38.3,83.3,70,Metabolic Enzyme Knockin,Tier-3 Discovery
CRISPR-0039,MYC,chrX,61.3,32.6,0.483,52.6,40,82.7,94.8,Cardiovascular Channel,Experimental
CRISPR-0040,VEGFA,chr1,50.4,42.6,0.317,39.6,55.3,78.1,68.1,Oncology / Immuno-Gene,Tier-1 Approved
CRISPR-0041,KRAS,chr2,50.7,38.1,0.303,57.6,50.5,81.4,79.2,Neurodegenerative Repair,Tier-2 Preclinical
CRISPR-0042,HBB,chr7,90.5,37.3,0.914,43.8,53,81.1,87.1,Hemoglobinopathy (Sickle Cell),Tier-3 Discovery
CRISPR-0043,HTT,chr11,91.6,25.8,0.95,61.6,16.2,86.2,88.2,Metabolic Enzyme Knockin,Experimental
CRISPR-0044,CFTR,chr13,50.5,50,0.41,63.4,51.8,78.5,70.8,Cardiovascular Channel,Tier-1 Approved
CRISPR-0045,PDCD1,chr17,58.2,27.3,0.472,46,34.6,84.5,77.8,Oncology / Immuno-Gene,Tier-2 Preclinical
CRISPR-0046,CTLA4,chr19,77.8,27.1,0.657,55.8,31.5,84.5,83.1,Neurodegenerative Repair,Tier-3 Discovery
CRISPR-0047,PCSK9,chrX,96,31.7,0.896,49.7,37.7,84.9,69.1,Hemoglobinopathy (Sickle Cell),Experimental
CRISPR-0048,BRCA1,chr1,80.2,35,0.818,41.3,47,81.9,93.6,Metabolic Enzyme Knockin,Tier-1 Approved
CRISPR-0049,TP53,chr2,65.9,62,0.622,62.8,69.1,71.7,91.6,Cardiovascular Channel,Tier-2 Preclinical
CRISPR-0050,EGFR,chr7,56.5,47.3,0.365,49.8,65.9,74.6,80.2,Oncology / Immuno-Gene,Tier-3 Discovery
CRISPR-0051,MYC,chr11,79.6,27.1,0.733,59.9,12,85.9,86.8,Neurodegenerative Repair,Experimental
CRISPR-0052,VEGFA,chr13,97.2,2.1,0.94,52,11.5,96.8,94.5,Hemoglobinopathy (Sickle Cell),Tier-1 Approved
CRISPR-0053,KRAS,chr17,91.8,26.4,0.846,49.1,33.9,83.2,76.1,Metabolic Enzyme Knockin,Tier-2 Preclinical
CRISPR-0054,HBB,chr19,55.4,29.5,0.343,51.1,37.8,84.4,78.3,Cardiovascular Channel,Tier-3 Discovery
CRISPR-0055,HTT,chrX,96,42.7,0.938,41.3,57.7,77,93.6,Oncology / Immuno-Gene,Experimental
CRISPR-0056,CFTR,chr1,54.5,24.3,0.405,44.4,33.1,85.2,69.7,Neurodegenerative Repair,Tier-1 Approved
CRISPR-0057,PDCD1,chr2,86.6,11.3,0.881,42.8,15.1,89.5,79.6,Hemoglobinopathy (Sickle Cell),Tier-2 Preclinical
CRISPR-0058,CTLA4,chr7,72.5,35.6,0.572,51.9,47.9,81.9,84.2,Metabolic Enzyme Knockin,Tier-3 Discovery
CRISPR-0059,PCSK9,chr11,56.1,14.4,0.344,55.8,19.4,90.5,67.7,Cardiovascular Channel,Experimental
CRISPR-0060,BRCA1,chr13,57.6,38.7,0.466,55.2,52.1,78.5,73.1,Oncology / Immuno-Gene,Tier-1 Approved
CRISPR-0061,TP53,chr17,48.9,10.4,0.334,42.3,15.9,88.6,72.9,Neurodegenerative Repair,Tier-2 Preclinical
CRISPR-0062,EGFR,chr19,84.1,61.8,0.807,59.7,68.2,70.4,67.4,Hemoglobinopathy (Sickle Cell),Tier-3 Discovery
CRISPR-0063,MYC,chrX,66.8,22.8,0.576,53.7,32.4,84.4,91.5,Metabolic Enzyme Knockin,Experimental
CRISPR-0064,VEGFA,chr1,44.4,28.2,0.276,41.3,34,82.4,82.5,Cardiovascular Channel,Tier-1 Approved
CRISPR-0065,KRAS,chr2,70,31,0.655,42.7,38.1,85.4,71.8,Oncology / Immuno-Gene,Tier-2 Preclinical
CRISPR-0066,HBB,chr7,92.6,44.1,0.815,47.6,65,76.3,75,Neurodegenerative Repair,Tier-3 Discovery
CRISPR-0067,HTT,chr11,96,36.4,0.91,46.5,47.3,78.5,81.4,Hemoglobinopathy (Sickle Cell),Experimental
CRISPR-0068,CFTR,chr13,67.4,51.1,0.61,43.7,68.4,78,94.2,Metabolic Enzyme Knockin,Tier-1 Approved
CRISPR-0069,PDCD1,chr17,67,12,0.541,41.8,12.7,92,82.7,Cardiovascular Channel,Tier-2 Preclinical
CRISPR-0070,CTLA4,chr19,79.7,9.4,0.693,45.2,14.4,92.1,84.4,Oncology / Immuno-Gene,Tier-3 Discovery
CRISPR-0071,PCSK9,chrX,90.1,30.1,0.887,44.3,42,81.2,71,Neurodegenerative Repair,Experimental
CRISPR-0072,BRCA1,chr1,86.4,10.5,0.725,47.8,16,92.4,66.9,Hemoglobinopathy (Sickle Cell),Tier-1 Approved
CRISPR-0073,TP53,chr2,92.7,49.4,0.947,61.9,43.9,79.3,92.1,Metabolic Enzyme Knockin,Tier-2 Preclinical
CRISPR-0074,EGFR,chr7,92.8,26.3,0.908,57.8,39,83.5,72.2,Cardiovascular Channel,Tier-3 Discovery
CRISPR-0075,MYC,chr11,64.4,36.8,0.618,61.9,31.8,81.1,79.8,Oncology / Immuno-Gene,Experimental
CRISPR-0076,VEGFA,chr13,74.1,16.9,0.606,45.6,14.4,85.7,93.9,Neurodegenerative Repair,Tier-1 Approved
CRISPR-0077,KRAS,chr17,70.6,51.6,0.692,58.8,51.8,73.3,89.6,Hemoglobinopathy (Sickle Cell),Tier-2 Preclinical
CRISPR-0078,HBB,chr19,72.4,29.7,0.625,51.4,42.3,81.7,80.3,Metabolic Enzyme Knockin,Tier-3 Discovery
CRISPR-0079,HTT,chrX,12.3,14.2,0.08,31,24,88,45,Cardiovascular Channel,Experimental
CRISPR-0080,CFTR,chr1,60.7,19.2,0.412,50.7,22.2,86.5,90.3,Oncology / Immuno-Gene,Tier-1 Approved
CRISPR-0081,PDCD1,chr2,58.4,42,0.452,61.7,31.6,81,75.2,Neurodegenerative Repair,Tier-2 Preclinical
CRISPR-0082,CTLA4,chr7,52.4,15.7,0.294,45.6,19.8,89,65.6,Hemoglobinopathy (Sickle Cell),Tier-3 Discovery
CRISPR-0083,PCSK9,chr11,45.5,11.8,0.254,48.5,16.3,89.2,94,Metabolic Enzyme Knockin,Experimental
CRISPR-0084,BRCA1,chr13,96,9.8,0.931,51.8,11,89.8,83.5,Cardiovascular Channel,Tier-1 Approved
CRISPR-0085,TP53,chr17,92.8,24,0.924,44,26.4,85.5,75.3,Oncology / Immuno-Gene,Tier-2 Preclinical
CRISPR-0086,EGFR,chr19,88,12.9,0.774,55,19,88.6,87.2,Neurodegenerative Repair,Tier-3 Discovery
CRISPR-0087,MYC,chrX,76,32.2,0.8,61.9,20.6,85.4,70.2,Hemoglobinopathy (Sickle Cell),Experimental
CRISPR-0088,VEGFA,chr1,74.2,45.9,0.589,49.7,63.4,75.2,70.7,Metabolic Enzyme Knockin,Tier-1 Approved
CRISPR-0089,KRAS,chr2,55.6,30.9,0.326,49.9,44.7,85.6,79.2,Cardiovascular Channel,Tier-2 Preclinical
CRISPR-0090,HBB,chr7,66,50.3,0.641,59.9,50,78.3,67.8,Oncology / Immuno-Gene,Tier-3 Discovery
CRISPR-0091,HTT,chr11,77.9,20.3,0.678,52.7,27.9,89,90.9,Neurodegenerative Repair,Experimental
CRISPR-0092,CFTR,chr13,78.9,10.4,0.719,41.2,15.9,90.6,65.2,Hemoglobinopathy (Sickle Cell),Tier-1 Approved
CRISPR-0093,PDCD1,chr17,81.6,29.9,0.739,52.8,35,85.8,82.8,Metabolic Enzyme Knockin,Tier-2 Preclinical
CRISPR-0094,CTLA4,chr19,42.9,46.3,0.295,62.6,40.4,77.4,90.7,Cardiovascular Channel,Tier-3 Discovery
CRISPR-0095,PCSK9,chrX,83.5,8.1,0.734,55,11.6,91.5,84.4,Oncology / Immuno-Gene,Experimental
CRISPR-0096,BRCA1,chr1,75.8,27,0.672,39.7,39.1,82.1,86.1,Neurodegenerative Repair,Tier-1 Approved
CRISPR-0097,TP53,chr2,93.2,14.2,0.799,49.3,16.6,86.2,77.6,Hemoglobinopathy (Sickle Cell),Tier-2 Preclinical
CRISPR-0098,EGFR,chr7,84.2,43.7,0.698,52.1,59.6,78.3,78.9,Metabolic Enzyme Knockin,Tier-3 Discovery
CRISPR-0099,MYC,chr11,83.8,21.9,0.764,50.1,31.2,86.2,93.2,Cardiovascular Channel,Experimental
CRISPR-0100,VEGFA,chr13,51.4,14.4,0.287,45.5,14.2,88,67.4,Oncology / Immuno-Gene,Tier-1 Approved
